text,question,answer,answer_start
"Portland, Oregon’s largest city, sits on the Columbia and Willamette rivers, in the shadow of snow-capped Mount Hood. It’s known for its parks, bridges and bicycle paths, as well as for its eco-friendliness and its microbreweries and coffeehouses. Iconic Washington Park encompasses sites from the formal Japanese Garden to Oregon Zoo and its railway. The city hosts thriving art, theater and music scenes",How is the geography of the city?," sits on the Columbia and Willamette rivers, in the shadow of snow-capped Mount Hood",32
"Milwaukee is a city in the U.S. state of Wisconsin on Lake Michigan's western shore. It's known for its breweries, many of which offer tours chronicling its role in the beer industry. Overlooking the Menomonee River, the Harley-Davidson Museum displays classic motorcycles, including one of Elvis Presley’s. Nearby is the Milwaukee Public Museum, with its large-scale European Village and a recreation of old Milwaukee.",Are there any museum's in the city?,"the Harley-Davidson Museum displays classic motorcycles, including one of Elvis Presley’s",217
"Milwaukee is a city in the U.S. state of Wisconsin on Lake Michigan's western shore. It's known for its breweries, many of which offer tours chronicling its role in the beer industry. Overlooking the Menomonee River, the Harley-Davidson Museum displays classic motorcycles, including one of Elvis Presley’s. Nearby is the Milwaukee Public Museum, with its large-scale European Village and a recreation of old Milwaukee.",Where is the  city situated?,the U.S. state of Wisconsin on Lake Michigan's western shore,23
"Milwaukee is a city in the U.S. state of Wisconsin on Lake Michigan's western shore. It's known for its breweries, many of which offer tours chronicling its role in the beer industry. Overlooking the Menomonee River, the Harley-Davidson Museum displays classic motorcycles, including one of Elvis Presley’s. Nearby is the Milwaukee Public Museum, with its large-scale European Village and a recreation of old Milwaukee.",What are some iconic thing about the city?," known for its breweries, many of which offer tours chronicling its role in the beer industry",89
"Louisville, Kentucky's largest city, sits on the Ohio River along the Indiana border. Every May, its race course Churchill Downs hosts the Kentucky Derby, a renowned horse race whose long history is explored at the Kentucky Derby Museum. Baseball is celebrated at the Louisville Slugger Museum and Factory, where Major League bats are produced and a giant baseball ""slugger"" marks the entrance.",What are some iconic thing about the city?,"Every May, its race course Churchill Downs hosts the Kentucky Derby",86
"Louisville, Kentucky's largest city, sits on the Ohio River along the Indiana border. Every May, its race course Churchill Downs hosts the Kentucky Derby, a renowned horse race whose long history is explored at the Kentucky Derby Museum. Baseball is celebrated at the Louisville Slugger Museum and Factory, where Major League bats are produced and a giant baseball ""slugger"" marks the entrance.",Where is the city located?,Kentucky,12
"Louisville, Kentucky's largest city, sits on the Ohio River along the Indiana border. Every May, its race course Churchill Downs hosts the Kentucky Derby, a renowned horse race whose long history is explored at the Kentucky Derby Museum. Baseball is celebrated at the Louisville Slugger Museum and Factory, where Major League bats are produced and a giant baseball ""slugger"" marks the entrance.",What more could be said about the city?,Baseball is celebrated at the Louisville Slugger Museum and Factory,238
"Fresno is a city in California's San Joaquin Valley. Created in the early 1900s, Forestiere Underground Gardens consists of Roman-catacombs-inspired subterranean passages and courtyards. Fresno Chaffee Zoo has sea lions and a stingray touch pool. Sprawling, trail-lined Woodward Park is home to the Shinzen Japanese Garden. The city is a base for Yosemite National Park, with its waterfalls and giant rock formations.",What are some iconic thing about the city?,"base for Yosemite National Park, with its waterfalls and giant rock formations",338
"Fresno is a city in California's San Joaquin Valley. Created in the early 1900s, Forestiere Underground Gardens consists of Roman-catacombs-inspired subterranean passages and courtyards. Fresno Chaffee Zoo has sea lions and a stingray touch pool. Sprawling, trail-lined Woodward Park is home to the Shinzen Japanese Garden. The city is a base for Yosemite National Park, with its waterfalls and giant rock formations.",Where is the city located?,California's,20
"Fresno is a city in California's San Joaquin Valley. Created in the early 1900s, Forestiere Underground Gardens consists of Roman-catacombs-inspired subterranean passages and courtyards. Fresno Chaffee Zoo has sea lions and a stingray touch pool. Sprawling, trail-lined Woodward Park is home to the Shinzen Japanese Garden. The city is a base for Yosemite National Park, with its waterfalls and giant rock formations.",Can we know anything related to the architecture of the city?,Forestiere Underground Gardens consists of Roman-catacombs-inspired subterranean passages and courtyards,81
"Mesa is a city just east of Phoenix, in Arizona. Mesa Grande Cultural Park is home to a giant, centuries-old ceremonial mound, and artifacts of the ancient Hohokam people. The Arizona Museum of Natural History exhibits dinosaur skeletons and archaeological finds. The nearby i.d.e.a. Museum offers hands-on artistic and scientific exhibits for kids. Mesa Arts Center presents theater, musicals and contemporary art.",Which state is the city located?,Arizona,40
"Mesa is a city just east of Phoenix, in Arizona. Mesa Grande Cultural Park is home to a giant, centuries-old ceremonial mound, and artifacts of the ancient Hohokam people. The Arizona Museum of Natural History exhibits dinosaur skeletons and archaeological finds. The nearby i.d.e.a. Museum offers hands-on artistic and scientific exhibits for kids. Mesa Arts Center presents theater, musicals and contemporary art.",Could we know anything about the museum?,The Arizona Museum of Natural History exhibits dinosaur skeletons and archaeological finds,172
"Mesa is a city just east of Phoenix, in Arizona. Mesa Grande Cultural Park is home to a giant, centuries-old ceremonial mound, and artifacts of the ancient Hohokam people. The Arizona Museum of Natural History exhibits dinosaur skeletons and archaeological finds. The nearby i.d.e.a. Museum offers hands-on artistic and scientific exhibits for kids. Mesa Arts Center presents theater, musicals and contemporary art.",What are some iconic thing about the city?,"Mesa Grande Cultural Park is home to a giant, centuries-old ceremonial mound, and artifacts of the ancient Hohokam people",49
"Albuquerque, New Mexico’s largest city, sits in the high desert. Its modern Downtown core contrasts with Old Town Albuquerque, dating to the city’s 1706 founding as a Spanish colony. Old Town is filled with historic adobe buildings, such as San Felipe de Neri Church, 5 museums, and shops selling Native American handicrafts. Nearby, The Indian Pueblo Cultural Center traces the area’s tribal history.",Where is the city located?,New Mexico’,13
"Albuquerque, New Mexico’s largest city, sits in the high desert. Its modern Downtown core contrasts with Old Town Albuquerque, dating to the city’s 1706 founding as a Spanish colony. Old Town is filled with historic adobe buildings, such as San Felipe de Neri Church, 5 museums, and shops selling Native American handicrafts. Nearby, The Indian Pueblo Cultural Center traces the area’s tribal history.",When and how is the city founded?,1706 founding as a Spanish colony,148
"Albuquerque, New Mexico’s largest city, sits in the high desert. Its modern Downtown core contrasts with Old Town Albuquerque, dating to the city’s 1706 founding as a Spanish colony. Old Town is filled with historic adobe buildings, such as San Felipe de Neri Church, 5 museums, and shops selling Native American handicrafts. Nearby, The Indian Pueblo Cultural Center traces the area’s tribal history.",What are some iconic thing about the city?,"filled with historic adobe buildings, such as San Felipe de Neri Church, 5 museums, and shops selling Native American handicrafts",195
"Tucson  is a city in and the county seat of Pima County, Arizona, United States, and is home to the University of Arizona. It is the second largest city in Arizona behind Phoenix, with a population of 542,629 in the 2020 United States census, while the population of the entire Tucson metropolitan statistical area (MSA) is 1,043,433. The Tucson MSA forms part of the larger Tucson-Nogales combined statistical area (CSA). Both Tucson and Phoenix anchor the Arizona Sun Corridor. The city is 108 miles (174 km) southeast of Phoenix and 60 mi (97 km) north of the U.S.–Mexico border. Tucson is the 34th largest city and the 53rd largest metropolitan area in the United States ",In which state is the city located?,Arizona,57
"Tucson  is a city in and the county seat of Pima County, Arizona, United States, and is home to the University of Arizona. It is the second largest city in Arizona behind Phoenix, with a population of 542,629 in the 2020 United States census, while the population of the entire Tucson metropolitan statistical area (MSA) is 1,043,433. The Tucson MSA forms part of the larger Tucson-Nogales combined statistical area (CSA). Both Tucson and Phoenix anchor the Arizona Sun Corridor. The city is 108 miles (174 km) southeast of Phoenix and 60 mi (97 km) north of the U.S.–Mexico border. Tucson is the 34th largest city and the 53rd largest metropolitan area in the United States ",What is the geography of the city?,108 miles (174 km) southeast of Phoenix and 60 mi (97 km) north of the U.S.–Mexico border.,492
"Tucson  is a city in and the county seat of Pima County, Arizona, United States, and is home to the University of Arizona. It is the second largest city in Arizona behind Phoenix, with a population of 542,629 in the 2020 United States census, while the population of the entire Tucson metropolitan statistical area (MSA) is 1,043,433. The Tucson MSA forms part of the larger Tucson-Nogales combined statistical area (CSA). Both Tucson and Phoenix anchor the Arizona Sun Corridor. The city is 108 miles (174 km) southeast of Phoenix and 60 mi (97 km) north of the U.S.–Mexico border. Tucson is the 34th largest city and the 53rd largest metropolitan area in the United States ",What are some iconic thing about the city?," It is the second largest city in Arizona behind Phoenix,",122
"Tucson  is a city in and the county seat of Pima County, Arizona, United States, and is home to the University of Arizona. It is the second largest city in Arizona behind Phoenix, with a population of 542,629 in the 2020 United States census, while the population of the entire Tucson metropolitan statistical area (MSA) is 1,043,433. The Tucson MSA forms part of the larger Tucson-Nogales combined statistical area (CSA). Both Tucson and Phoenix anchor the Arizona Sun Corridor. The city is 108 miles (174 km) southeast of Phoenix and 60 mi (97 km) north of the U.S.–Mexico border. Tucson is the 34th largest city and the 53rd largest metropolitan area in the United States ",What is the population of the city?,"542,629",201
"Sacramento, capital of the U.S. state of California, lies at the confluence of the Sacramento River and American River. The district of Old Sacramento harkens back to the city’s Gold Rush era, with wooden sidewalks and wagon rides. One of several museums in Old Sacramento, the California State Railroad Museum depicts the construction of the Transcontinental Railroad, one of the country’s earliest technological feats.",What are some iconic thing about the city?,"district of Old Sacramento harkens back to the city’s Gold Rush era, with wooden sidewalks and wagon rides",124
"Sacramento, capital of the U.S. state of California, lies at the confluence of the Sacramento River and American River. The district of Old Sacramento harkens back to the city’s Gold Rush era, with wooden sidewalks and wagon rides. One of several museums in Old Sacramento, the California State Railroad Museum depicts the construction of the Transcontinental Railroad, one of the country’s earliest technological feats.",What states capital is the city?,California,41
"Sacramento, capital of the U.S. state of California, lies at the confluence of the Sacramento River and American River. The district of Old Sacramento harkens back to the city’s Gold Rush era, with wooden sidewalks and wagon rides. One of several museums in Old Sacramento, the California State Railroad Museum depicts the construction of the Transcontinental Railroad, one of the country’s earliest technological feats.",What could be said about the museums in the city?,"the California State Railroad Museum depicts the construction of the Transcontinental Railroad, one of the country’s earliest technological feat",274
"Long Beach is a coastal city and port in Southern California. Moored in its Queensway Bay, RMS Queen Mary is a retired ocean liner and museum ship. The waterfront Aquarium of the Pacific features touch tanks and a shark lagoon. Modern and contemporary works are on display at the Museum of Latin American Art. Rancho Los Cerritos is a 19th-century adobe home and museum set in expansive gardens. ",What are some iconic thing about the city?,The waterfront Aquarium of the Pacific features touch tanks and a shark lagoon,148
"Long Beach is a coastal city and port in Southern California. Moored in its Queensway Bay, RMS Queen Mary is a retired ocean liner and museum ship. The waterfront Aquarium of the Pacific features touch tanks and a shark lagoon. Modern and contemporary works are on display at the Museum of Latin American Art. Rancho Los Cerritos is a 19th-century adobe home and museum set in expansive gardens. ",Where is the city located?,Long Beach is a coastal city and port in Southern California,0
"Long Beach is a coastal city and port in Southern California. Moored in its Queensway Bay, RMS Queen Mary is a retired ocean liner and museum ship. The waterfront Aquarium of the Pacific features touch tanks and a shark lagoon. Modern and contemporary works are on display at the Museum of Latin American Art. Rancho Los Cerritos is a 19th-century adobe home and museum set in expansive gardens. ",What could we find in the museums of Longbeach?,Modern and contemporary works,228
"Kansas City sits on Missouri's western edge, straddling the border with Kansas. It's known for its barbecue, jazz heritage and fountains. Downtown, the American Jazz Museum shares a building with the Negro Leagues Baseball Museum in the historic 18th & Vine Jazz District. The Nelson-Atkins Museum of Art, with giant shuttlecocks out front, houses nearly 40,000 works of art, from ancient to contemporary collections.",In which state is the city located?,Missouri,20
"Kansas City sits on Missouri's western edge, straddling the border with Kansas. It's known for its barbecue, jazz heritage and fountains. Downtown, the American Jazz Museum shares a building with the Negro Leagues Baseball Museum in the historic 18th & Vine Jazz District. The Nelson-Atkins Museum of Art, with giant shuttlecocks out front, houses nearly 40,000 works of art, from ancient to contemporary collections.",Could we know anything about the museums in the city?,the American Jazz Museum shares a building with the Negro Leagues Baseball Museum in the historic 18th & Vine Jazz District,148
"Kansas City sits on Missouri's western edge, straddling the border with Kansas. It's known for its barbecue, jazz heritage and fountains. Downtown, the American Jazz Museum shares a building with the Negro Leagues Baseball Museum in the historic 18th & Vine Jazz District. The Nelson-Atkins Museum of Art, with giant shuttlecocks out front, houses nearly 40,000 works of art, from ancient to contemporary collections.",What are some iconic thing about the city?,"known for its barbecue, jazz heritage and fountains",85
"Atlanta is the capital of the U.S. state of Georgia. It played an important part in both the Civil War and the 1960s Civil Rights Movement. Atlanta History Center chronicles the city's past, and the Martin Luther King Jr. National Historic Site is dedicated to the African-American leader’s life and times. Downtown, Centennial Olympic Park, built for the 1996 Olympics, encompasses the massive Georgia Aquarium.",What is the historic importance of the city?,played an important part in both the Civil War and the 1960s Civil Rights Movement,56
"Atlanta is the capital of the U.S. state of Georgia. It played an important part in both the Civil War and the 1960s Civil Rights Movement. Atlanta History Center chronicles the city's past, and the Martin Luther King Jr. National Historic Site is dedicated to the African-American leader’s life and times. Downtown, Centennial Olympic Park, built for the 1996 Olympics, encompasses the massive Georgia Aquarium.",What are some iconic thing about the city?,"Centennial Olympic Park, built for the 1996 Olympics, encompasses the massive Georgia Aquarium",317
"Atlanta is the capital of the U.S. state of Georgia. It played an important part in both the Civil War and the 1960s Civil Rights Movement. Atlanta History Center chronicles the city's past, and the Martin Luther King Jr. National Historic Site is dedicated to the African-American leader’s life and times. Downtown, Centennial Olympic Park, built for the 1996 Olympics, encompasses the massive Georgia Aquarium.",Which sates capital is the city?,Georgia,44
"Raleigh is the capital city of North Carolina. It’s known for its universities, including North Carolina State University. The number of technology and scholarly institutions around Raleigh, Chapel Hill and Durham make the area known as the Research Triangle. The North Carolina State Capitol is a 19th-century Greek Revival–style building with a statue of George Washington dressed as a Roman general in its rotunda. ",What are some iconic thing about the city?,"The number of technology and scholarly institutions around Raleigh, Chapel Hill and Durham make the area known as the Research Triangle",123
"Raleigh is the capital city of North Carolina. It’s known for its universities, including North Carolina State University. The number of technology and scholarly institutions around Raleigh, Chapel Hill and Durham make the area known as the Research Triangle. The North Carolina State Capitol is a 19th-century Greek Revival–style building with a statue of George Washington dressed as a Roman general in its rotunda. ",What is the capital of North Carolina?,Raleigh,0
"Raleigh is the capital city of North Carolina. It’s known for its universities, including North Carolina State University. The number of technology and scholarly institutions around Raleigh, Chapel Hill and Durham make the area known as the Research Triangle. The North Carolina State Capitol is a 19th-century Greek Revival–style building with a statue of George Washington dressed as a Roman general in its rotunda. ",What could be said about architecture?,The North Carolina State Capitol is a 19th-century Greek Revival–style building with a statue of George Washington,260
"Colorado Springs, at an elevation of 6,035 ft., is a city in Colorado at the eastern foot of the Rocky Mountains. It lies near glacier-carved Pikes Peak, a landmark in Pike National Forest with hiking trails and a cog railway leading to its 14,114-ft. summit. The city's Garden of the Gods park features iconic red-sandstone formations and mountain views.",What are some iconic thing about the city?,Garden of the Gods park features iconic red-sandstone formations and mountain views,271
"Colorado Springs, at an elevation of 6,035 ft., is a city in Colorado at the eastern foot of the Rocky Mountains. It lies near glacier-carved Pikes Peak, a landmark in Pike National Forest with hiking trails and a cog railway leading to its 14,114-ft. summit. The city's Garden of the Gods park features iconic red-sandstone formations and mountain views.",What could be said about the location of the city?,a city in Colorado at the eastern foot of the Rocky Mountains,51
"Colorado Springs, at an elevation of 6,035 ft., is a city in Colorado at the eastern foot of the Rocky Mountains. It lies near glacier-carved Pikes Peak, a landmark in Pike National Forest with hiking trails and a cog railway leading to its 14,114-ft. summit. The city's Garden of the Gods park features iconic red-sandstone formations and mountain views.",How can we reach the highest summit in the city?,"cog railway leading to its 14,114-ft. summit",214
"Virginia Beach, a coastal city in southeastern Virginia, lies where the Chesapeake Bay meets the Atlantic Ocean. A 3-mile boardwalk stretches along its beach-lined oceanfront. The bayside First Landing State Park marks the 1607 arrival of the Jamestown colonists from England. The Virginia Aquarium & Marine Science Center exhibits ocean life including sharks, rays and sea turtles in globally themed habitats. ",What are some iconic thing about the city?," The Virginia Aquarium & Marine Science Center exhibits ocean life including sharks, rays and sea turtles in globally themed habitats.",276
"Virginia Beach, a coastal city in southeastern Virginia, lies where the Chesapeake Bay meets the Atlantic Ocean. A 3-mile boardwalk stretches along its beach-lined oceanfront. The bayside First Landing State Park marks the 1607 arrival of the Jamestown colonists from England. The Virginia Aquarium & Marine Science Center exhibits ocean life including sharks, rays and sea turtles in globally themed habitats. ",Where is the city located?,a coastal city in southeastern Virginia,16
"Oakland is a city on the east side of San Francisco Bay, in California. Jack London Square has a statue of the writer, who frequented the area. Nearby, Old Oakland features restored Victorian architecture and boutiques. Near Chinatown, the Oakland Museum of California covers state history, nature and art. Uptown contains the art deco Fox and Paramount theaters, restaurants, bars and galleries.",What are some iconic thing about the city?, Old Oakland features restored Victorian architecture and boutiques,151
"Oakland is a city on the east side of San Francisco Bay, in California. Jack London Square has a statue of the writer, who frequented the area. Nearby, Old Oakland features restored Victorian architecture and boutiques. Near Chinatown, the Oakland Museum of California covers state history, nature and art. Uptown contains the art deco Fox and Paramount theaters, restaurants, bars and galleries.",What could be said about the museums in the city?,"Oakland Museum of California covers state history, nature and art",240
"Oakland is a city on the east side of San Francisco Bay, in California. Jack London Square has a statue of the writer, who frequented the area. Nearby, Old Oakland features restored Victorian architecture and boutiques. Near Chinatown, the Oakland Museum of California covers state history, nature and art. Uptown contains the art deco Fox and Paramount theaters, restaurants, bars and galleries.",In which state is oakland located?,California,60
"Omaha is a city in the U.S. state of Nebraska, on the Missouri River close to the Iowa border. A stop on the Lewis & Clark National Historic Trail, it's known for its pioneer history, museums and cultural centers. The Henry Doorly Zoo and Aquarium spearheads conservation work and features a big cat complex as well as indoor jungle, rainforest and desert habitats. ",What are some iconic thing about the city?,"The Henry Doorly Zoo and Aquarium spearheads conservation work and features a big cat complex as well as indoor jungle, rainforest and desert habitats.",214
"Omaha is a city in the U.S. state of Nebraska, on the Missouri River close to the Iowa border. A stop on the Lewis & Clark National Historic Trail, it's known for its pioneer history, museums and cultural centers. The Henry Doorly Zoo and Aquarium spearheads conservation work and features a big cat complex as well as indoor jungle, rainforest and desert habitats. ",In which state is the city located?,Nebraska,37
"Minneapolis is a major city in Minnesota that forms ""Twin Cities"" with the neighboring state capital of St. Paul. Bisected by the Mississippi River, it's known for its parks and lakes. Minneapolis is also home to many cultural landmarks like the Walker Art Center, a contemporary art museum, and the adjacent Minneapolis Sculpture Garden, famed for Claes Oldenburg's ""Spoonbridge and Cherry"" sculpture.",Where is the city located?,Minnesota,31
"Minneapolis is a major city in Minnesota that forms ""Twin Cities"" with the neighboring state capital of St. Paul. Bisected by the Mississippi River, it's known for its parks and lakes. Minneapolis is also home to many cultural landmarks like the Walker Art Center, a contemporary art museum, and the adjacent Minneapolis Sculpture Garden, famed for Claes Oldenburg's ""Spoonbridge and Cherry"" sculpture.",What are some iconic thing about the city?," the Walker Art Center, a contemporary art museum, and the adjacent Minneapolis Sculpture Garden, famed for Claes Oldenburg's ""Spoonbridge and Cherry"" sculptu",241
"Tulsa is a city on the Arkansas River, in the U.S. state of Oklahoma. It’s known for its art deco architecture, mostly in the central Deco District. Landmarks like the Philcade and Philtower buildings reflect a 20th-century construction boom fueled by the prosperous local oil industry. The Philbrook Museum of Art is housed in an Italianate villa that was once the home of a local oil magnate.",What are some iconic thing about the city?,the Philcade and Philtower buildings reflect a 20th-century construction boom fueled by the prosperous local oil industry,164
"Tulsa is a city on the Arkansas River, in the U.S. state of Oklahoma. It’s known for its art deco architecture, mostly in the central Deco District. Landmarks like the Philcade and Philtower buildings reflect a 20th-century construction boom fueled by the prosperous local oil industry. The Philbrook Museum of Art is housed in an Italianate villa that was once the home of a local oil magnate.",What could be said about the geography of the city?,"a city on the Arkansas River, in the U.S. state of Oklahoma",9
"Tulsa is a city on the Arkansas River, in the U.S. state of Oklahoma. It’s known for its art deco architecture, mostly in the central Deco District. Landmarks like the Philcade and Philtower buildings reflect a 20th-century construction boom fueled by the prosperous local oil industry. The Philbrook Museum of Art is housed in an Italianate villa that was once the home of a local oil magnate.",What is the speciality of the museum in the city?,The Philbrook Museum of Art is housed in an Italianate villa,287
"Miami , officially the City of Miami, known as ""the 305"", ""The Magic City"", and ""Gateway to the Americas"", is a coastal metropolis and the county seat of Miami-Dade County in South Florida. With a population of 442,241 as of the 2020 census, it is the second-most populous city in Florida and the eleventh-most populous city in the Southeastern United States. The Miami metropolitan area is the ninth largest in the U.S. with a population of 6.138 million people as of 2020. The city has the third-largest skyline in the U.S. with over 300 high-rises, 58 of which exceed 491 ft.",What are some iconic thing about the city?,"the third-largest skyline in the U.S. with over 300 high-rises, 58 of which exceed 491 ft",488
"Miami , officially the City of Miami, known as ""the 305"", ""The Magic City"", and ""Gateway to the Americas"", is a coastal metropolis and the county seat of Miami-Dade County in South Florida. With a population of 442,241 as of the 2020 census, it is the second-most populous city in Florida and the eleventh-most populous city in the Southeastern United States. The Miami metropolitan area is the ninth largest in the U.S. with a population of 6.138 million people as of 2020. The city has the third-largest skyline in the U.S. with over 300 high-rises, 58 of which exceed 491 ft.",The city is also known as?,"the 305"", ""The Magic City"", and ""Gateway to the Americas",48
"Miami , officially the City of Miami, known as ""the 305"", ""The Magic City"", and ""Gateway to the Americas"", is a coastal metropolis and the county seat of Miami-Dade County in South Florida. With a population of 442,241 as of the 2020 census, it is the second-most populous city in Florida and the eleventh-most populous city in the Southeastern United States. The Miami metropolitan area is the ninth largest in the U.S. with a population of 6.138 million people as of 2020. The city has the third-largest skyline in the U.S. with over 300 high-rises, 58 of which exceed 491 ft.",What is the population of the city?,"442,241",211
"Miami , officially the City of Miami, known as ""the 305"", ""The Magic City"", and ""Gateway to the Americas"", is a coastal metropolis and the county seat of Miami-Dade County in South Florida. With a population of 442,241 as of the 2020 census, it is the second-most populous city in Florida and the eleventh-most populous city in the Southeastern United States. The Miami metropolitan area is the ninth largest in the U.S. with a population of 6.138 million people as of 2020. The city has the third-largest skyline in the U.S. with over 300 high-rises, 58 of which exceed 491 ft.",Which state is it Miami located in?,Florida,281
"New Orleans is a Louisiana city on the Mississippi River, near the Gulf of Mexico. Nicknamed the ""Big Easy,"" it's known for its round-the-clock nightlife, vibrant live-music scene and spicy, singular cuisine reflecting its history as a melting pot of French, African and American cultures. Embodying its festive spirit is Mardi Gras, the late-winter carnival famed for raucous costumed parades and street parties.",What are some iconic thing about the city?," its round-the-clock nightlife, vibrant live-music scene and spicy, singular cuisine reflecting its history as a melting pot of French, African and American cultures",123
"New Orleans is a Louisiana city on the Mississippi River, near the Gulf of Mexico. Nicknamed the ""Big Easy,"" it's known for its round-the-clock nightlife, vibrant live-music scene and spicy, singular cuisine reflecting its history as a melting pot of French, African and American cultures. Embodying its festive spirit is Mardi Gras, the late-winter carnival famed for raucous costumed parades and street parties.",What is the city also known as?,Big Easy,98
"New Orleans is a Louisiana city on the Mississippi River, near the Gulf of Mexico. Nicknamed the ""Big Easy,"" it's known for its round-the-clock nightlife, vibrant live-music scene and spicy, singular cuisine reflecting its history as a melting pot of French, African and American cultures. Embodying its festive spirit is Mardi Gras, the late-winter carnival famed for raucous costumed parades and street parties.",Where is New Orleans located?,"a Louisiana city on the Mississippi River, near the Gulf of Mexico",15
"Cleveland , officially the City of Cleveland, is a city in the U.S. state of Ohio and the county seat of Cuyahoga County. Located in the northeastern part of the state, it is situated along the southern shore of Lake Erie, across the U.S. maritime border with Canada and approximately 60 miles (100 kilometers) west of Pennsylvania. The largest city on Lake Erie and one of the major cities of the Great Lakes region, Cleveland ranks as the 54th-largest city in the U.S. with a 2020 population of 372,624. The city anchors both the Greater Cleveland metropolitan statistical area (MSA) and the larger Cleveland–Akron–Canton combined statistical area (CSA). The CSA is the most populous in Ohio and the 17th largest in the country, with a population of 3.63 million in 2020, while the MSA ranks as 34th largest at 2.09 million.",Which county is the city?,the county seat of Cuyahoga County,86
"Cleveland , officially the City of Cleveland, is a city in the U.S. state of Ohio and the county seat of Cuyahoga County. Located in the northeastern part of the state, it is situated along the southern shore of Lake Erie, across the U.S. maritime border with Canada and approximately 60 miles (100 kilometers) west of Pennsylvania. The largest city on Lake Erie and one of the major cities of the Great Lakes region, Cleveland ranks as the 54th-largest city in the U.S. with a 2020 population of 372,624. The city anchors both the Greater Cleveland metropolitan statistical area (MSA) and the larger Cleveland–Akron–Canton combined statistical area (CSA). The CSA is the most populous in Ohio and the 17th largest in the country, with a population of 3.63 million in 2020, while the MSA ranks as 34th largest at 2.09 million.",What are some iconic thing about the city?, The largest city on Lake Erie and one of the major cities of the Great Lakes region,332
"Cleveland , officially the City of Cleveland, is a city in the U.S. state of Ohio and the county seat of Cuyahoga County. Located in the northeastern part of the state, it is situated along the southern shore of Lake Erie, across the U.S. maritime border with Canada and approximately 60 miles (100 kilometers) west of Pennsylvania. The largest city on Lake Erie and one of the major cities of the Great Lakes region, Cleveland ranks as the 54th-largest city in the U.S. with a 2020 population of 372,624. The city anchors both the Greater Cleveland metropolitan statistical area (MSA) and the larger Cleveland–Akron–Canton combined statistical area (CSA). The CSA is the most populous in Ohio and the 17th largest in the country, with a population of 3.63 million in 2020, while the MSA ranks as 34th largest at 2.09 million.",What is the population of the city?,"372,624",497
"Cleveland , officially the City of Cleveland, is a city in the U.S. state of Ohio and the county seat of Cuyahoga County. Located in the northeastern part of the state, it is situated along the southern shore of Lake Erie, across the U.S. maritime border with Canada and approximately 60 miles (100 kilometers) west of Pennsylvania. The largest city on Lake Erie and one of the major cities of the Great Lakes region, Cleveland ranks as the 54th-largest city in the U.S. with a 2020 population of 372,624. The city anchors both the Greater Cleveland metropolitan statistical area (MSA) and the larger Cleveland–Akron–Canton combined statistical area (CSA). The CSA is the most populous in Ohio and the 17th largest in the country, with a population of 3.63 million in 2020, while the MSA ranks as 34th largest at 2.09 million.",What is the geography of the city?,"the northeastern part of the state, it is situated along the southern shore of Lake Erie, across the U.S. maritime border with Canada",133
"Wichita is a city in south-central Kansas. Exploration Place features hands-on science exhibits and Kansas in Miniature, a display of animated models depicting 1950s Kansas. Old Cowtown Museum recreates 19th-century life with old buildings and costumed guides. Themed gardens at Botanica Wichita include a wildflower meadow and a Chinese garden. The Museum of World Treasures has Egyptian mummies and a T. rex skeleton.",What are some iconic thing about the city?,"eatures hands-on science exhibits and Kansas in Miniature, a display of animated models depicting 1950s Kansas",62
"Wichita is a city in south-central Kansas. Exploration Place features hands-on science exhibits and Kansas in Miniature, a display of animated models depicting 1950s Kansas. Old Cowtown Museum recreates 19th-century life with old buildings and costumed guides. Themed gardens at Botanica Wichita include a wildflower meadow and a Chinese garden. The Museum of World Treasures has Egyptian mummies and a T. rex skeleton.",Which state is wichita located?,Kansas,35
"Wichita is a city in south-central Kansas. Exploration Place features hands-on science exhibits and Kansas in Miniature, a display of animated models depicting 1950s Kansas. Old Cowtown Museum recreates 19th-century life with old buildings and costumed guides. Themed gardens at Botanica Wichita include a wildflower meadow and a Chinese garden. The Museum of World Treasures has Egyptian mummies and a T. rex skeleton.",What could be said about the museums in the city?,Museum of World Treasures has Egyptian mummies and a T. rex skeleton.,350
"Aurora is a home rule municipality located in Arapahoe, Adams, and Douglas counties, Colorado, United States. The city's population was 386,261 at the 2020 United States Census with 336,035 residing in Arapahoe County, 47,720 residing in Adams County, and 2,506 residing in Douglas County.",Which state is the city in?,Colorado,85
"Aurora is a home rule municipality located in Arapahoe, Adams, and Douglas counties, Colorado, United States. The city's population was 386,261 at the 2020 United States Census with 336,035 residing in Arapahoe County, 47,720 residing in Adams County, and 2,506 residing in Douglas County.","Where is the city located?
"," located in Arapahoe, Adams, and Douglas counties,",34
"Aurora is a home rule municipality located in Arapahoe, Adams, and Douglas counties, Colorado, United States. The city's population was 386,261 at the 2020 United States Census with 336,035 residing in Arapahoe County, 47,720 residing in Adams County, and 2,506 residing in Douglas County.",What is Aurora city's population?,"The city's population was 386,261 at the 2020 United States Census with 336,035 residing in Arapahoe County, 47,720 residing in Adams County, and 2,506 residing in Douglas County.",110
"Aurora is a home rule municipality located in Arapahoe, Adams, and Douglas counties, Colorado, United States. The city's population was 386,261 at the 2020 United States Census with 336,035 residing in Arapahoe County, 47,720 residing in Adams County, and 2,506 residing in Douglas County.",What is the city?,Aurora ,0
